Duration (in seconds),Finished,UserLanguage,PROLIFIC_PID,Consent,EMOTION,Recall,Specific Event,4_Item_1,5_Item_1,6_Item_1,7_Item_1,8_Item_1,9_Item_1,10_Item_1,11_Item_1,12_Item_1,13_Item_1,14_Item_1,15_Item_1,16_Item_1,17_Item_1,18_Item_1,19_Item_1,20_Item_1,21_Item_1,22_Item_1,23_Item_1,24_Item_1,25_Item_1,26_Item_1,27_Item_1,28_Item_1,29_Item_1,30_Item_1,31_Item_1,32_Item_1,33_Item_1,34_Item_1,35_Item_1,36_Item_1,37_Item_1,38_Item_1,39_Item_1,40_Item_1,41_Item_1,42_Item_1,43_Item_1
507,True,EN,56eeb66a524cc0000a5fa4a2,I agree,LOVE,"I felt like we had always been together, I could see no faults and used no reasons but lived in the love I felt.",An event did not cause me to feel love.,1,9,2,-99,1,1,1,7,2,1,9,7,3,1,1,7,2,1,1,9,1,8,8,8,8,8,1,2,1,6,9,1,8,8,8,7,1,8,4,-99
868,True,EN,60b8d349bc9f80e35756cf1b,I agree,GRIEF,"I experienced grief when my mother passed away. It was so sudden and she died at an early age. I never thought I would be without a mother whilst I was still so young. it is sometimes difficult to process and surreal, but with each day I am learning to heal and find joy in life.",Not having my mother around.,1,1,1,-99,9,1,1,9,1,1,-99,1,9,8,8,1,1,-99,1,9,2,9,9,9,9,5,9,8,1,1,9,1,9,1,9,9,-99,9,4,-99
1041,True,EN,610c67785d74ee2c4a39def8,I agree,REALIZATION,"In 2018, I was working as solution architect on a very large project which would see my employer start to use Oracle accounting software running on their cloud-based infrastructure instead of our existing in-house SAP software. The project was not going well as several senior architects within the company felt that the security of the system was not adequate and they required changes and assurances that were difficult to achieve. I struggled with the technical details as I did not have the necessary background, but my position in the project meant that I had responsibility for the design and implementation of the solutions. After a few weeks of this I realized that I did not want to continue to struggle with this and would like to retire.",Having to answer a security question in a review,6,1,5,4,6,1,2,1,2,2,9,8,3,6,8,1,6,8,7,2,2,7,1,9,5,1,9,2,1,8,5,7,-99,7,9,7,7,2,4,-99
443,True,EN,5e67f04ad474f209bb3a47ef,I agree,DISGUST,"I feel disgust when I watch documentaries on how our species is destroying the planet, allowing greed to cause business to not care about the health of our species and how governments lie to maintain power.  These documentaries make me not trust our society and look at people I don't know with a level of distrust until they have earned my trust.",How greed causes complete lack of care in humans.,8,1,1,1,9,1,1,1,1,1,1,1,3,6,8,1,9,5,9,6,7,4,9,1,9,9,1,1,8,1,9,1,7,2,9,8,9,9,4,-99
505,True,EN,5ce740c8636a5b0018f55968,I agree,DISAPPROVAL,"I can't recall any situation that i have felt any disapproval from anyone in respects to anything, i am a very easy going guy, and tend to be approving in all areas, not wanting to offend upset people",none,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
570,True,EN,5df6deb85cc3804b5b1eb8f7,I agree,GRIEF,I felt grief when my cat died We took her to the vets when she was unwell and they gave expensive medicine. A week or so later she was still severely unwell. We had to make the decision to put her down and I was in the room whilst it happened. I was devastated after and felt like i'd been emotionally hit with a hammer.,Death of my cat,3,1,-99,1,-99,1,1,8,1,6,6,-99,7,2,5,9,-99,4,-99,3,6,7,-99,8,6,2,8,6,1,4,9,-99,2,-99,9,5,3,2,4,-99
747,True,EN,60b69c51baff09d728841783,I agree,SADNESS,"I had to pass the phone to my father dying of cancer, so he could speak to his (widowed) mother who lived 4000 miles away in Denmark to tell her he had little time left. They hadn't seen each other in person in about 4 years, that phone call was their last contact. 
Their exchange was in Danish - which I do not speak - I could roughly make out a few words, but I understood the heaviness of what was spoken.
When my father passed the phone back to me, all I could say to my grandmother in German was 'I'm sorry'. Holding back tears was hard in that moment. It was one of the hardest things in my life.",anticipation of death,9,1,-99,4,1,-99,1,9,4,1,5,7,3,1,9,2,-99,4,1,2,2,8,9,9,9,2,9,-99,1,1,9,2,7,2,7,9,1,7,4,-99
593,True,EN,60ec63a307a991fd0b0364ab,I agree,CONFUSION,Just last week I was asked to take over a project that was struggling.  The programme leads explained the issues with me before I met with the team delivering the project.  The issues described by the project team were completely different to those explained by the programme leads.  It was if they were describing different projects.,The meeting with the project team.,1,1,-99,-99,8,1,1,1,3,9,7,2,6,8,6,1,9,9,9,9,7,6,1,9,7,9,7,5,1,1,3,-99,8,1,8,5,8,9,4,-99
732,True,EN,56b8ad1be1d0a2000c154093,I agree,CONFUSION,"What I once thought of as 'family'  turned their backs on me during a traumatic time, without a single word, no explanation, nothing. That was ten years ago, and it looks as though I will never know why or what happened.","It was sudden, and there was no explanation",1,1,1,1,9,9,1,9,1,2,1,9,9,1,1,4,1,1,4,4,5,9,1,1,8,1,9,1,2,9,9,1,9,1,9,9,2,9,4,-99
763,True,EN,6091b2b1fec07f6e3f674cd3,I agree,JOY,"It was the day of my birthday but my husband as acting like he had forgotten about it the whole day and i did not ask him but when i got home from work he surprised me with a nice gift, this bought me so much joy",my birthday,4,5,2,4,9,9,1,6,1,3,3,6,9,5,2,1,7,1,4,2,6,1,2,3,6,7,1,2,1,1,6,1,8,1,8,6,1,3,4,-99
278,True,EN,614d9188dc315950026a6102,I agree,JOY,Yesterday I ate a chocolate bar and felt joy. It tasted great and i was hungry. It was a bar of dark chocolate.,The taste of the chocolate,7,7,8,7,9,9,9,1,8,9,4,1,4,7,8,1,7,8,9,7,1,1,8,1,4,9,1,5,1,9,3,3,1,2,4,6,2,1,4,-99
477,True,EN,5e84629868b86400086cce3e,I agree,DISAPPOINTMENT,Left job where I was working as a temp because company was taken over and recruitment halted. Disappointed to have wasted a couple of years working for the company.,Missed working for my boss.,9,7,9,5,1,9,1,9,1,3,9,1,2,9,9,1,5,5,-99,9,1,9,1,9,9,-99,3,-99,1,9,9,2,9,-99,9,6,1,-99,4,-99
664,True,EN,5ce94777de266200151ea319,I agree,DISAPPROVAL,"i felt disapproval when i realised that my husband was leading a double life. he was having an affair an lying to me an others, i felt anger and disapproval as he shouldnt be doig it",discovering he had commited adultry,1,1,1,1,9,9,2,9,1,4,1,9,8,1,6,1,9,5,6,4,5,8,-99,8,7,3,6,1,1,8,8,-99,9,2,7,7,-99,9,4,-99
344,True,EN,5c1a31f33b58c00001bb7d11,I agree,ANNOYANCE,"cat decided to wipe his bum on the floor after using litter tray, requiring extensive clear up. something that some male cats do similar to dogs",wiped bum,2,1,-99,2,-99,-99,1,-99,2,3,-99,-99,3,6,3,1,7,6,7,7,-99,3,-99,-99,2,3,1,2,1,1,6,-99,-99,-99,4,2,6,3,4,-99
290,True,EN,5fecb45bf0b5ed997f79db67,I agree,SURPRISE,"When my cousin broke the news that she was getting engaged. I was startled because she did not seem the type to ever get married, although I was very happy for her.",Engagement,2,8,6,8,9,9,1,9,1,2,8,-99,8,3,8,1,6,7,6,8,5,9,-99,9,7,5,1,4,1,1,9,5,5,1,7,5,1,2,4,-99
904,True,EN,5f5b2c8452a9212388fa88db,I agree,GRATITUDE,"I had a heart operation the end of June 2021 to repair my leaking mitral valve.

It was partly a success because I suffered a stroke during the surgery which I am trying to cope with in every day life now and until the effects wear off.

However, if the mitral valve could  not be repaired by the surgeon I might have had to have it replaced with either an animal (pig) one or metal; both require Warfarin blood thinner to be taken daily for the rest of your life and the pig valve must be replaced after ten years.

I am truly Grateful that the surgeon was able to repair my own valve and I do not have to have further surgery or Warfarin daily for the rest of my life.",Repair of  my own valve.,2,1,9,4,1,1,1,6,2,4,7,3,1,-99,7,9,4,5,1,6,-99,8,9,7,9,-99,9,7,9,9,9,-99,7,2,9,5,9,6,4,-99
761,True,EN,5fdde74bfdb6e64c26da591a,I agree,LOVE,"I felt loved when I celebrated my birthday this year and although I didn't do anything special, seeing all my friends present for me on a day that usually makes me sad made me feel good and appreciated, as if someone had finally figured out who I am ",the presence of my friends,3,8,8,3,7,3,8,8,4,6,-99,6,4,6,7,4,6,4,7,4,9,8,4,8,4,9,2,1,2,7,8,7,9,7,7,6,2,6,4,-99
633,True,EN,60735afaf8eaadd4f3116e87,I agree,APPROVAL,It was Saturday morning I was busy arguing with my friends who is the greatest footballer of all time my friends were voting for Cristiano and I was going for Messi. There was a final game later than the evening of a Champions League and Cristiano approved that he was the greatest of all time. That day I approved what my friends were saying.,Champions League Final,3,9,9,9,9,9,1,1,1,1,9,9,1,9,9,9,9,9,9,9,9,9,9,1,1,1,1,1,1,1,9,1,5,1,9,9,1,9,4,-99
393,True,EN,5aead25562ac0e00010974b1,I agree,DISGUST,I was working in the garden when I found a slug eating a fallen tomato. When I went to remove the tomato from the soil the slug slipped from the tomato and onto the back of my hand where it stuck.,"It was the ""idea"" of the slug touching me.",1,1,1,5,1,1,3,1,1,-99,5,1,9,1,2,3,3,3,4,5,1,1,9,1,1,8,1,9,1,9,2,-99,1,2,9,7,1,1,4,-99
785,True,EN,611edf22772b0561875ad94a,I agree,OPTIMISM,"I remember a time when I had been experiencing strange sensations in my abdomen, I thought the problem would resolve itself but it didn't so reluctantly and with trepidation I called the Doctor's. I was asked to go in and the Doctor said he would send me for an urgent full blood test. So for a couple of weeks I was nervous and not feeling very optimistic. I eventually received a text message telling me the result was back and non urgent. I suddenly felt more optimistic than I had done for a long while.",That my future wasn't as bleak as I'd imagined,2,1,9,3,1,1,1,3,1,1,1,9,7,1,7,1,9,1,5,2,1,7,7,9,9,3,7,5,3,9,6,3,3,3,9,4,9,9,4,-99
708,True,EN,60292fb1bf92e7828428ed62,I agree,DISAPPOINTMENT,When I failed my driving test in south London I was very dissapointed. I had never failed any exam in my life. I didn't have much money and had spent a lot of money on lessons. The prospect of yet more costs on further lessons was concerning.,Failing an exam.,3,2,6,4,6,2,8,1,7,8,8,7,3,2,7,7,9,8,6,7,6,8,2,8,7,8,6,6,6,7,8,4,5,7,8,7,6,6,4,1
494,True,EN,588780269c4f3f00010f0e5c,I agree,GRATITUDE,I was thankful that the bus I was waiting on arrived on time and allowed me to get to me destination on schedule,bus arriving on schedule,7,2,7,7,5,5,3,1,4,3,6,1,5,8,-99,1,3,6,7,6,4,1,6,4,2,7,1,3,1,5,2,6,1,2,4,2,3,1,4,-99
570,True,EN,5bc796bff6c10a00012c6cd7,I agree,REMORSE,"I recently felt remorse when I told a relative that I couldn't look after there dog while they went away on holiday for 7 days. Even though I am a massive dog lover, I couldn't have the dog in my rented property and I didn't want to be left alone in there house either with just the dog for company for 7 days. I felt so guilty for saying no and it actually took me a while to pluck up the courage to actually so I couldn't do it.",The fact I felt I would be letting them down.,5,1,-99,-99,8,1,7,7,4,2,6,6,6,2,6,1,3,3,6,4,7,7,-99,9,5,7,7,9,1,3,4,2,6,3,8,6,5,-99,4,-99
438,True,EN,5fc65eb000091528ea745f65,I agree,DISAPPROVAL,"Me and my friend were talking about politics in a public park in our city. I felt disapproval when a friend of mine said that everyone, who shows signs of having a left political view is stupid. ",My friend talking bad about specific politic group,4,1,6,3,9,7,1,8,1,1,4,2,3,7,4,1,-99,5,7,1,6,2,1,9,5,4,6,-99,1,2,6,5,5,1,6,2,2,3,4,-99
1393,True,EN,5f4f43e2d2f0c1191357174c,I agree,JOY,"I felt joy when I got my first kiss from a childhood girlfriend. I was playing with my friends and then she came to me, hugged me and started to kiss me. With that act, she made my day so joyful.",Kissing,5,9,9,9,9,9,1,9,5,5,5,1,9,6,5,1,1,9,9,9,5,5,9,9,1,7,5,1,1,5,9,3,5,5,9,9,1,5,4,-99
380,True,EN,5ae5e66d3ab2fb0001ef2f3c,I agree,PRIDE,I was working for a school for several years and a promotion opportunity arose.  I was encouraged to apply by senior members of the team.  After weeks of preparation and work I was successful in the process and was promoted.,Successful promotion,6,8,9,9,8,9,8,6,6,8,6,9,1,1,1,1,1,2,2,8,2,9,1,9,9,3,9,1,1,7,9,6,7,8,9,6,2,1,4,-99
322,True,EN,5ee10c33a3011311034f2cb1,I agree,GRATITUDE,"I went on holiday to germany and lost my passport at a festival. I was calling around the embassy and local police as well as looking for it at the ground. about 15 hours later it was fount and returned, I was extremely grateful that it was returned and it meant I wasn't stranded and able to catch my flight back. ","the fact that it was returned ",1,1,-99,1,5,9,5,6,1,1,-99,1,9,9,1,9,9,1,1,4,7,9,1,9,9,2,9,9,1,1,9,1,1,1,9,9,1,8,4,-99
492,True,EN,5b14532ce9270900013c5bf6,I agree,JOY,"When as a young child I went to my first football game. I got to take the day off school, so I could travel there. It was a really good experience to see the ground, feel the atmosphere and see the game. It was a good game as well, so it was memorable.",Seeing the ground for the first time.,6,6,7,6,8,9,1,8,3,1,7,5,3,1,5,8,5,4,5,9,5,8,2,7,1,5,1,7,1,5,9,6,5,2,7,5,1,1,4,-99
632,True,EN,60fb5292cf5d71817fcab54e,I agree,DESIRE,One occasion in which I felt desire was a few months ago when I came across a pair of designer shoes that I really wanted. I was shopping in a department store when I saw a pair of expensive trainers that I really liked and really wanted.,"Seeing a pair of very nice shoes ",4,8,8,9,2,2,6,6,9,-99,-99,3,7,9,6,1,2,9,8,9,2,7,8,3,2,9,1,8,1,9,6,6,1,6,8,2,1,1,4,-99
390,True,EN,5c7ed92f9c3fc00016f4e7dd,I agree,REMORSE,When I cheated on my wife and she found out. I then felt remorse about what I had done and guilty as she was very upset and angry,.Being found out cheating on my wife,8,1,1,1,8,1,8,9,3,4,8,9,6,2,1,9,6,5,2,7,7,8,8,9,7,2,8,2,7,4,9,4,9,7,8,7,9,6,4,-99
397,True,EN,59baa4f5178f1b00018289b2,I agree,CONFUSION,Driving to pick up new new customer under contract only to find she did not live at the address on the contract. Found that since signing the contraact she had moved to the next street.,The address on the contract did not match .,1,1,2,-99,9,5,1,1,2,6,5,1,7,7,-99,-99,5,4,5,8,-99,6,3,5,7,-99,6,9,1,8,5,-99,1,1,8,2,2,8,4,-99
481,True,EN,5fa077c52858080c743bbf67,I agree,LOVE,"It was my birthday and my new girlfriend bought an expensive gift for me. Not that I think I do not deserve the gift, but because she spent more than 50 per cent of her resources at that time to get the gift for me. It was really surprising for me that someone can love me that much. ","Birthday gift. ",1,4,-99,9,9,9,1,8,-99,-99,8,6,9,4,6,3,7,9,7,-99,8,8,2,4,-99,4,2,8,1,9,9,2,6,2,9,6,1,9,4,-99
496,True,EN,5ee2e409ed87f4471d21b85e,I agree,LOVE,"Love is many things,but i remmeber my neighbor saving dog and her puppies from a canal and giving them home.I felt pure love to an animal.",Saving dogs,3,9,1,9,9,9,1,7,2,7,6,4,9,7,3,6,6,9,7,-99,4,6,9,6,4,4,6,-99,1,4,9,4,3,4,9,7,1,7,4,-99
863,True,EN,60353d9e0ec00c75e3459f66,I agree,DESIRE,"A time where I felt strong desire was when my partner and I went on our second house viewing, once we saw the property, we knew we wanted it. It was in a perfect location and to a perfect condition for what we wanted, and well within budget. We knew that it was in a competitive area for houses, and that it would be well sought after. When looking around the house, we saw a letter from a proespective buyer that had been posted through the door to the owner, explaining that they really want to buy the property and will pay above asking price. This only increased our desire to have the property even more, we knew that we would have to win the bidding war and luckily we did. ",The thought of owning our perfect first home,6,8,7,6,6,2,4,6,6,4,8,3,7,3,8,1,2,6,3,8,3,7,6,6,9,4,7,4,1,6,8,7,4,2,7,8,7,7,4,1
380,True,EN,5f0a14c3d362030c483654a3,I agree,REALIZATION,I realised that a game I'd played quite intensely for a long period of time was no longer bringing me enjoyment while still occupying a lot of my time. The step that I then took was to detach myself from this activity by finishing up a few last things I wanted to do then uninstalling the game and no longer continuing to play it,I lost an 'important' battle in the game,7,2,3,3,6,6,7,2,8,5,5,7,2,6,7,2,6,5,8,7,1,7,2,7,7,8,7,3,1,3,7,5,4,6,8,2,2,4,4,-99
833,True,EN,60aa6c8804d2aae2b7cce9d5,I agree,DISAPPOINTMENT,"I had a job that I really enjoyed but the contract was fixed term.  Because my partner wasn't working and we were living on my income alone, having a fixed term contract wasn't ideal from a financial security point of view.  My contract may have been extended, but was unlikely to be made permanent in the near future, so I got a permanent job with another organisation which I don't enjoy.  I have subsequently heard that my old contract would have been extended and there would have been an opportunity for secondment to a higher grade where I would have gained valuable experience.",Financial situation didn't enable me to take risk,9,1,1,2,9,8,1,9,1,1,5,6,2,6,5,1,5,6,5,9,8,9,1,6,9,2,8,1,1,8,9,5,6,1,8,8,8,2,4,-99
652,True,EN,56d33245321cae000b68d9e4,I agree,ADMIRATION,I trained under a Greek chef and he taught me a great deal when i was young. I was new in the kitchen but he had a respect for me and as time went by he showed me the best way to prepare and cook meals.,He could have bluffed me but he was a sincere chef,3,5,7,8,8,7,1,6,1,1,1,8,2,1,3,9,2,4,4,8,5,6,1,5,9,2,6,7,1,7,9,6,1,4,9,6,1,9,4,7
345,True,EN,6130ea05fbb1bc77adb8c424,I agree,NERVOUSNESS,the night before my wedding. I hadnt written a speech and was worried about having to wing it. I couldnt find any speeches online that I could use and knew i coudlnt write one the next day as i had food to collect,the unpreparedness,7,2,6,4,7,1,7,5,7,5,5,6,1,6,6,3,2,3,4,6,8,8,1,8,4,9,5,7,1,4,8,4,3,7,9,7,5,5,4,-99
1045,True,EN,5fe70a2be144224fce79b148,I agree,APPROVAL,I was at cookery school and it was our cooking exam (one of the adjudicators was a top chef.)  I chose to make a riskier dish and was very nervous of the outcome - it could go badly wrong.  The dish turned out really well and I was praised by the adjudicators who loved the dish.,"The adjudicators recognition of the dish I cooked ",2,8,2,8,8,8,8,9,6,-99,-99,8,3,2,-99,1,5,1,5,8,7,5,7,9,6,3,8,7,9,1,6,3,1,7,8,4,5,7,4,-99
565,True,EN,5ec79cbd44972a1fceed2719,I agree,PRIDE,"Winning promotion with my cricket team for three seasons in row , as Captain I took them as high as they could go",I felt instrumental in achieving this success,7,7,8,8,9,8,5,6,7,5,8,1,1,8,5,1,5,3,2,9,-99,9,5,9,2,3,6,1,1,2,9,9,5,8,8,1,2,1,4,-99
732,True,EN,60c69fbacb808125e4db200c,I agree,ANGER,"My teenage daughter wanted to go and meet her friends.  She had been out a few nights in a row and it was a school night.  I told her she should stay at home as she went out too may times a week.  She replied that she could do what she wanted and I couldn't stop her. ",telling me she could do as she pleased,6,-99,5,-99,9,7,8,9,7,-99,5,-99,4,9,9,2,2,7,8,8,9,8,2,8,2,9,7,8,4,1,8,-99,7,2,9,-99,7,2,4,-99
679,True,EN,5da6f72f153eda0016068ab7,I agree,RELIEF,"I feel relief when i finally moved in to my flat. it was very long and complicated process involving selling another property and having the lease on the new flat extended. the process took over a year in total. 
the moving day was very stressful and I was greatly relived when it was over.",finally moving house,7,1,6,6,-99,2,7,4,7,-99,8,6,1,2,7,1,-99,4,7,3,-99,8,7,6,9,2,8,2,1,8,8,9,4,2,9,5,4,3,4,-99
906,True,EN,5a81d2b6190420000155d995,I agree,ANGER,a work colleague of mine posted comments on facebook sying bad things about the company we worked for and also about me. The comments she made about me were untrue.,the untrue comments about me.,1,1,1,1,9,9,1,7,1,1,1,2,9,1,7,1,1,5,3,9,9,4,1,8,2,1,2,8,1,5,9,1,8,5,9,9,9,7,4,-99
719,True,EN,5f3ec93efbd299158253f283,I agree,ANNOYANCE,I am driving in my car and the tyre pressure warning message appears on the dashboard. I check all the tyres and discover I have a puncture in the rear driver's side tyre.,Finding a puncture in the car tyre.,2,1,1,3,1,1,1,1,2,1,1,1,8,5,8,1,8,8,3,8,1,1,1,1,2,8,2,8,5,8,6,-99,1,1,7,2,5,1,8,-99
491,True,EN,5e9e106132c0901b43cd2532,I agree,CONFUSION,When playing the board game Risk for the first time and trying to understand the rules. It instructions were not very clear and difficult to understand.,"Playing a new board game ""Risk""",4,5,1,5,5,2,2,9,4,5,9,2,2,4,6,1,2,5,6,8,3,9,1,8,1,8,2,9,1,3,7,1,1,4,7,1,1,1,4,-99
593,True,EN,5e3dafda2ee93c01ebac5349,I agree,CONFUSION,"My mother was ill but was released by the hospital saying that she was fine. Two days later, I left my mother and father at home in the care of my brother as I went to London to see other family. I received a call later to say my dear mother had passed. I was extremely confused by this news. She was fine when I left. It still baffles me somewhat to this day.",a death of a person who seemed well,1,1,1,1,4,1,1,9,1,1,6,7,9,1,5,1,8,1,5,5,6,9,9,3,9,1,9,9,1,1,9,1,9,1,9,9,1,9,4,-99
1008,True,EN,5ced2b44c0267f0001445982,I agree,AMUSEMENT,"One new year's eve, when my son was little, he found an old wrinkly lemon in my Mum's fridge.  I drew a sad face on it, with a teardrop.  My son felt sorry for the lemon, so my Mum tried to change the sad mouth to a happy grin, but that just made the lemon look evil and angry.  My son had remembered when I had told him that if you put lemons in the microwave before juicing them, it made them juicier.  So, thinking it might help the lemon, and unbeknownst to us, he decided to microwave it, but it just exploded.  He was very sad about that unfortunately, but, I'm afraid, my Mum and I laughed a lot!",The fate of the poor lemon.,1,1,1,9,8,2,4,9,2,1,5,1,7,1,1,6,2,1,1,9,6,9,1,9,1,9,1,9,1,1,9,9,1,7,9,1,1,1,4,-99
738,True,EN,5f4102e52cd459256b5014a9,I agree,OPTIMISM,My daughter recently got engaged to her long term boyfriend and I felt enormous optimism for the future when they may have children and so I hopefully will become a grandparent.,My daughter becoming engaged.,8,6,7,7,9,9,1,9,1,2,9,6,8,3,8,1,6,6,1,8,8,9,2,6,6,7,1,1,1,1,9,6,7,2,7,5,1,1,4,-99
649,True,EN,5f3287b83428cb05746e2214,I agree,AMUSEMENT," lt was this last December that me and my family visited Cape Town . So one of the days we decided to visit one of the malls in the city just to do some window shopping and at least have lunch ,when we got there walking past one of the grocery shop passed through this golden statue, oh that's what we thought.",it was not a statue but a normal person.,1,9,4,6,8,9,1,1,1,2,3,7,9,1,4,1,1,1,8,8,9,8,2,4,2,9,1,1,1,9,7,1,1,3,7,7,9,8,4,6
641,True,EN,5e9edad6e7784d016ed87b36,I agree,DESIRE,"I was looking at new computers online to replace my old computer and saw an amazing computer that had all the bells and whistles and things that I was looking for (and a few extra). It linked to a video that showed off the computer, its abilities and its looks. I really wanted it!",Seeing the new computer,3,8,7,5,3,5,9,1,9,7,9,2,6,7,8,1,3,6,7,9,1,-99,2,1,1,7,2,7,1,9,5,7,1,8,8,7,2,6,4,-99
969,True,EN,5dcc2835e50faf8c303e7484,I agree,FEAR,I was on board a warship at action stations when the alarm sounded indicating that an airborne missile was heading towards the ship. I was located at the centre of the ship where the missile was most likely to hit.,Possibility of death from an uncontrollable event,8,1,2,-99,1,9,1,9,1,1,6,1,6,2,9,1,1,6,8,8,2,9,6,6,8,1,7,2,9,1,9,4,6,2,9,8,9,8,4,-99
1636,True,EN,5be677307514d00001084e85,I agree,ADMIRATION,I met a fellow student in first year at uni who at that point already managed to gain industry experience by persistently applying for internships. This was in a degree where internships are relatively uncommon but highly regarded nonetheless.,meeting someone new,7,7,7,7,8,2,3,4,2,6,7,8,6,7,7,3,8,4,9,7,8,7,4,9,2,8,8,7,1,8,9,7,9,7,9,3,3,7,4,-99
1280,True,EN,60a53519043904037bac8c91,I agree,LOVE,"I felt love the day I gave birth to my son. I woke up in the early hours of that day having contractions then I immediately realized that I was going to have my son on this particular day. My husband drove me to the hospital and upon arriving I was checked by one of the nurses on duty and they told me that I was fully dilated. after a couple of minutes, I then pushed my son with the help of two doctors. When they put my son on my tummy, it was the most awesome, beautiful, and great moment of my life. I felt so much love for my newborn son.",The moment I held my son for the first time.,9,9,9,9,1,8,7,9,8,1,9,1,1,9,6,6,9,9,6,8,9,9,9,8,8,7,8,6,3,9,9,3,1,8,9,8,3,7,4,-99
785,True,EN,5fbdc4f0784d3f225d8d96d1,I agree,ADMIRATION,"Over the past year I had gotten into the hobby of playing dungeons and dragons, and with that, I got invested in a dungeons and dragons show called critical role. The game master of the show is widely regarded as a paragon and a role model in the fan base, and he lives up to the praise. Watching him weave narratives and breath life into numerous characters over the course of hundreds of hours of content was awe inspiring. The time where my admiration for him peaked was during the first episode of the new season of the show.",The description of the new setting,7,7,7,7,9,9,1,3,1,1,8,4,1,7,6,1,3,2,7,9,8,9,1,1,2,8,1,5,1,1,9,6,4,2,8,8,2,5,4,-99
1365,True,EN,5f3954e2efd6ae4b0713cebd,I agree,SADNESS,"I was at home sleeping when we were woken up by one of my brothers who reported that our brother, who comes directly after me, was killed in an accident.",The death of my brother,1,1,1,1,-99,-99,1,9,1,1,1,1,9,1,8,1,9,2,9,7,-99,9,-99,9,8,9,9,8,1,8,9,8,1,9,7,5,1,5,4,-99
630,True,EN,6103afcc83916ef8ecf8b1c8,I agree,CARING,Helping a colleague on a tough work task with a very tight deadline. I dropped my task to focus on helping out and getting the work submitted,Seeing someone else struggle,3,3,4,6,9,2,1,8,4,2,8,3,4,6,6,1,6,8,6,8,3,5,1,9,3,6,7,3,1,6,6,7,6,4,9,3,3,3,4,-99
471,True,EN,60b7ae30dc4cd72192734427,I agree,PRIDE,"I felt pride after my PhD defence, which took me several years to finish. I needed around 11 years to complete all scientific tasks.",PhD defence,8,3,9,8,8,8,6,6,8,-99,5,7,1,6,2,8,7,7,2,3,2,8,2,8,9,3,9,8,1,5,8,7,2,3,8,7,-99,2,7,-99
1137,True,EN,5ef5f74fb4a08f2676fb3aba,I agree,REMORSE,"It was when my dear friend was having marital problems and I was there for her with my support but one time when she particularly needed it I was not available to provide with the added support she needed. I remember feeling very guilty for this but it was a stressful time for me in my own life. I remember feeling as if I should have been able to have coped with both my problem as well as giving my friend the added support that you needed. As I am a caring person and like to know I have always given my best, this left me feeling great remorse. ","The remorse came from not being there enough. ",4,1,5,4,7,5,6,7,7,6,4,6,6,2,5,3,6,2,6,6,6,2,1,5,3,5,8,6,1,4,4,6,6,6,7,6,2,6,4,-99
697,True,EN,5ecb7a2d7a32d26eca7526ba,I agree,EXCITEMENT,"Im thinking about when I bought a new tent recently.  It was a small tent but high quality, and the purchase meant a lot to me.  i could feel the excitement builiding as I received the tracking notice and I was very excited for the arrival date.  As soon as it arrived I put the tent up in the garden and I was pleased with the quality of the tent.  I am now looking forward to actually using it camping overnight",Arrival of the tent,9,9,9,9,9,9,9,1,9,9,9,3,1,5,9,1,2,9,3,9,3,1,2,2,4,9,1,1,1,8,9,8,1,6,8,7,1,1,4,-99
849,True,EN,59d3bc2147f4e80001a6c559,I agree,FEAR,"It was within the last few weeks at about 10pm at night. I had some recycling that I had to put in the bin in the back garden - done it a thousand times. Though on this occasion when I opened the door and went out I was hit by a wave of fear/dread. It was due to how dark it was, especially within my garden. I felt someone might be waiting in the shadows to attack me, so I dumped my recycling in the bin and rushed back in. I dont have any real fear of the dark, so I can't explain why this happened. Maybe due to TV shows/Films I'd be watching and had forgotten about, or that just sometimes we get these surges of emotion.",The darkness of nighttime,9,1,-99,-99,1,-99,5,1,1,1,-99,2,1,9,9,1,1,-99,5,9,1,-99,1,1,1,9,1,-99,2,9,6,1,1,1,9,6,1,1,4,-99
1680,True,EN,6038edc05fc5993376527b9a,I agree,CURIOSITY,I do not usually have a strong desire to know or learn something. I have a general desire to know things on a daily basis.,An ad I saw.,5,4,5,-99,1,1,3,-99,5,-99,-99,5,6,4,-99,-99,1,7,6,-99,6,7,-99,-99,3,9,1,7,1,3,4,-99,3,4,7,2,2,4,4,-99
845,True,EN,5c37ac66bc6444000133b38e,I agree,EMBARRASSMENT,When i was younger i tripped over and there was many people that saw. I got back up and felt like i wanted to run away.,The fact that many people saw it.,3,3,4,5,5,2,6,3,4,6,5,6,7,5,5,4,5,5,7,6,6,6,7,4,4,6,5,7,6,6,7,5,4,5,6,5,4,4,4,-99
